meal_id,meal_name,category,calories,protein,fat,carbohydrates,gluten,lactose,nuts,vegetarian,baking,frying,roasting,grilling,preparation_time,cuisine,temperature
0,Spaghetti Bolognese,Pasta,500,20,10,45,false,false,false,false,false,false,false,false,30,Italian,hot
1,Chicken Caesar Salad,Salad,350,25,15,20,true,true,false,false,false,false,false,false,15,American,cold
2,Pepperoni Pizza,Pizza,700,30,35,60,true,true,false,false,true,false,true,false,25,Italian,hot
3,Sushi Platter,Sushi,300,15,10,40,true,true,true,false,false,false,true,false,20,Japanese,cold
4,Vegetable Stir-Fry,Vegetarian,250,10,5,35,true,true,false,true,false,false,false,true,15,Asian,hot
5,Grilled Salmon,Seafood,400,30,20,10,true,true,false,false,false,true,false,true,20,American,hot
6,Margarita Pizza,Pizza,650,25,30,55,true,true,false,false,true,false,true,false,25,Italian,hot
7,Beef Tacos,Mexican,450,22,15,30,true,true,false,false,true,false,true,false,20,Mexican,hot
8,Chicken Alfredo,Pasta,600,25,30,50,true,true,false,false,false,false,false,false,30,Italian,hot
9,Caesar Salad,Salad,300,15,20,15,true,true,false,false,false,false,false,false,10,American,cold
10,Chicken Teriyaki Stir-Fry,Asian,350,20,15,30,true,true,false,true,false,false,false,true,15,Asian,hot
11,Beef and Broccoli,Asian,450,25,20,35,true,true,false,true,false,false,false,true,20,Asian,hot
12,Spinach and Feta Stuffed Chicken,Chicken,350,30,15,20,true,true,false,false,true,true,false,false,25,Mediterranean,hot
13,Vegetable Curry,Vegetarian,300,10,15,40,true,true,false,true,false,false,false,true,20,Indian,hot
14,Shrimp Scampi,Seafood,400,25,20,25,true,true,false,false,true,false,false,true,15,Italian,hot
15,Hawaiian Pizza,Pizza,600,20,30,50,true,true,false,false,true,false,true,false,25,Italian,hot
16,Steak Fajitas,Mexican,500,28,20,35,true,true,false,false,true,false,true,false,25,Mexican,hot
17,Lasagna,Pasta,550,25,25,45,false,true,false,false,false,false,false,false,35,Italian,hot
18,Cobb Salad,Salad,350,20,25,15,true,true,false,false,false,false,false,false,15,American,cold
19,Tuna Sushi Roll,Sushi,250,12,5,30,true,true,true,false,false,false,true,false,20,Japanese,cold
20,Crispy Tofu Stir-Fry,Vegetarian,300,15,10,35,true,true,false,true,false,false,false,true,15,Asian,hot
21,Grilled Shrimp,Seafood,250,28,10,5,true,true,false,false,true,true,false,false,10,American,hot
22,Supreme Pizza,Pizza,750,35,40,65,true,true,false,false,true,false,true,false,30,Italian,hot
23,Chicken Enchiladas,Mexican,400,22,20,30,true,true,false,false,true,false,true,false,25,Mexican,hot
24,Spicy Ramen,Asian,450,18,20,40,true,true,false,true,false,false,false,true,20,Asian,hot
25,Honey Glazed Chicken,Chicken,350,30,15,25,true,true,false,false,true,true,false,false,25,American,hot
26,Eggplant Parmesan,Vegetarian,400,10,20,45,true,true,false,true,false,false,false,true,30,Italian,hot
27,Salmon Teriyaki,Seafood,350,28,15,20,true,true,false,false,true,true,false,false,20,Japanese,hot
28,Veggie Quesadillas,Mexican,300,15,15,25,true,true,false,true,false,false,false,true,15,Mexican,hot
29,Penne alla Vodka,Pasta,550,15,25,40,false,true,false,false,false,false,false,false,30,Italian,hot
30,Greek Salad,Salad,300,12,20,15,true,true,false,false,false,false,false,false,15,Greek,cold
31,California Roll,Sushi,300,10,10,40,true,true,true,false,false,false,true,false,20,Japanese,cold
32,Pad Thai,Asian,400,18,15,35,true,true,false,true,false,false,false,true,20,Thai,hot
33,Barbecue Ribs,Barbecue,700,35,40,30,true,true,false,false,true,false,true,false,45,American,hot
34,Chicken Tikka Masala,Indian,500,25,20,30,true,true,false,false,false,false,false,false,30,Indian,hot
35,Beef Burrito,Mexican,450,22,20,35,true,true,false,false,true,false,true,false,25,Mexican,hot
36,Teriyaki Salmon,Seafood,350,30,15,20,true,true,false,false,true,true,false,false,20,Japanese,hot
37,Chicken Parmesan,Chicken,400,28,20,25,true,true,false,false,true,true,false,false,30,Italian,hot
38,Vegetable Lasagna,Vegetarian,350,15,20,35,true,true,false,true,false,false,false,true,35,Italian,hot
39,Shrimp Scampi Pasta,Seafood,450,20,25,40,true,true,false,false,true,false,true,false,30,Italian,hot
40,Pho,Asian,300,18,10,30,true,true,false,true,false,false,false,true,25,Vietnamese,hot
41,BBQ Chicken Pizza,Pizza,650,30,30,45,true,true,false,false,true,false,true,false,25,Italian,hot
42,Chimichangas,Mexican,550,25,25,40,true,true,false,false,true,true,false,false,35,Mexican,hot
43,Beef and Mushroom Stir-Fry,Asian,400,28,15,30,true,true,false,true,false,false,false,true,20,Asian,hot
44,Spinach and Artichoke Dip,Appetizer,250,10,20,20,true,true,false,true,false,false,false,true,15,American,hot
45,Crispy Calamari,Seafood,350,20,15,25,true,true,false,false,true,true,false,false,20,Italian,hot
46,Cajun Jambalaya,Creole,500,22,25,35,true,true,false,true,false,false,false,true,30,Cajun,hot
47,Lemon Garlic Shrimp,Seafood,300,30,10,15,true,true,false,false,true,true,false,false,15,Italian,hot
48,Chicken Fajita Bowl,Mexican,400,25,15,30,true,true,false,false,true,true,false,false,25,Mexican,hot
49,Chicken and Broccoli Alfredo,Pasta,550,20,25,40,false,true,false,false,false,false,false,false,35,Italian,hot
